time	x	y	z	r	angle1	angle2
0.001233816146850586	257.65179443359375	-42.348201751708984	-56.463600158691406	-4976.547289805807	2598.156607075102	-7408.66798352284
0.02721428871154785	257.65179443359375	-42.348201751708984	-56.463600158691406	-4976.547289805807	2598.156607075102	-7408.66798352284
0.023407936096191406	258.7546081542969	-42.211700439453125	-56.28160095214844	-4972.144448833101	2598.3687236810183	-7395.44940146671
0.023151397705078125	259.7204895019531	-42.09230041503906	-56.122398376464844	-4968.297921927871	2598.506271459494	-7383.863898599224
0.023209333419799805	261.10650634765625	-41.920799255371094	-55.893798828125	-4962.771956328374	2598.632448038478	-7367.2164625422965
0.024442434310913086	262.97210693359375	-41.690101623535156	-55.58610153198242	-4955.33125567588	2598.64972351463	-7344.767965328921
0.02300119400024414	268.3414001464844	-41.025901794433594	-54.70050048828125	-4933.920599093103	2597.789885891471	-7279.916702562076
0.023246288299560547	271.9266052246094	-40.582401275634766	-54.10919952392578	-4919.623502500497	2596.4885395803267	-7236.4013088736565
0.023860454559326172	276.154296875	-40.05939865112305	-53.41189956665039	-4902.770072791227	2594.2300444195985	-7184.871843666027
0.022807836532592773	281.0466003417969	-39.454200744628906	-52.60499954223633	-4883.262342708126	2590.675888547472	-7124.939062033489
0.02290964126586914	286.618408203125	-38.76499938964844	-51.686100006103516	-4861.043456253732	2585.442075304165	-7056.274948606066
0.023827791213989258	292.877197265625	-37.99079895019531	-50.65380096435547	-4836.084110721661	2578.110275754503	-6978.6227766875245
0.0261995792388916	307.44891357421875	-36.18830108642578	-48.2504997253418	-4777.985153684191	2555.466937411363	-6795.573143442724
0.023118019104003906	315.73980712890625	-35.16270065307617	-46.88309860229492	-4744.926015282892	2539.3069321942176	-6689.935137511818
0.022845745086669922	324.6737976074219	-34.057498931884766	-45.40959930419922	-4709.298735211609	2519.3981486520947	-6574.815300619526
0.022976160049438477	334.22149658203125	-32.87649917602539	-43.83489990234375	-4671.229271372412	2495.3847994470293	-6450.242498118407
0.023074626922607422	344.3457946777344	-31.62420082092285	-42.16510009765625	-4630.861075820437	2466.963142346425	-6316.291517512814
0.02289867401123047	355.0028076171875	-30.30590057373047	-40.40739822387695	-4588.366028609549	2433.8808241923143	-6173.0826311050705
0.023072004318237305	366.1408996582031	-28.9281005859375	-38.57040023803711	-4543.956683699492	2395.9491268085067	-6020.816584301602
0.02296614646911621	377.7008056640625	-27.498199462890625	-36.66379928588867	-4497.861777141595	2353.0414362621914	-5859.750978506295
0.03072500228881836	377.7008056640625	-27.498199462890625	-36.66379928588867	-4497.861777141595	2353.0414362621914	-5859.750978506295
0.02416253089904785	383.61871337890625	-26.766199111938477	-35.687801361083984	-4474.26128994887	2329.7044547500122	-5776.01652692078
0.03406810760498047	389.61639404296875	-26.024200439453125	-34.69860076904297	-4450.345033293317	2305.1120490784856	-5690.212954381469
0.022881507873535156	395.684814453125	-25.27359962463379	-33.69770050048828	-4426.148432834892	2279.264437924525	-5602.39099393225
0.02239370346069336	401.81390380859375	-24.515399932861328	-32.686798095703125	-4401.710850417993	2252.1725551337954	-5512.608813632066
0.02297496795654297	407.9931945800781	-23.750999450683594	-31.667699813842773	-4377.072522594671	2223.84842793653	-5420.935078031697
0.022864580154418945	407.9931945800781	-23.750999450683594	-31.667699813842773	-4377.072522594671	2223.84842793653	-5420.935078031697
0.02429652214050293	414.2119140625	-22.981800079345703	-30.642000198364258	-4352.273685916974	2194.3145800547995	-5327.4380143281
0.022737741470336914	414.2119140625	-22.981800079345703	-30.642000198364258	-4352.273685916974	2194.3145800547995	-5327.4380143281
0.02282571792602539	420.4588928222656	-22.208999633789062	-29.6117000579834	-4327.366385490272	2163.594191241416	-5232.204655932773
0.022855520248413086	426.7221984863281	-21.43429946899414	-28.578699111938477	-4302.3899831589615	2131.7159081720242	-5135.319849488082
0.022850513458251953	432.9388122558594	-20.665300369262695	-27.55340003967285	-4277.602517680757	2098.989158678966	-5037.68979212281
0.02288222312927246	439.1980895996094	-19.891000747680664	-26.521099090576172	-4252.643172148686	2064.926730599373	-4937.824419349621
0.02290630340576172	439.1980895996094	-19.891000747680664	-26.521099090576172	-4252.643172148686	2064.926730599373	-4937.824419349621
0.022840261459350586	445.4372863769531	-19.119300842285156	-25.492000579833984	-4227.769985320461	2029.820994966349	-4836.605873836833
0.022832393646240234	445.4372863769531	-19.119300842285156	-25.492000579833984	-4227.769985320461	2029.820994966349	-4836.605873836833
0.023244619369506836	451.64459228515625	-18.35140037536621	-24.46820068359375	-4203.017070794561	1993.7292451311828	-4734.149179640849
0.022743940353393555	457.8089904785156	-17.58880043029785	-23.45159912109375	-4178.436473676354	1956.6860320461783	-4630.545743711435
0.02288961410522461	463.9197082519531	-16.83300018310547	-22.443700790405273	-4154.067555810236	1918.7427447859648	-4525.893533305757
0.022829771041870117	469.96649169921875	-16.08489990234375	-21.446399688720703	-4129.956676701831	1879.9453055023387	-4420.283955373581
0.024463891983032227	469.96649169921875	-16.08489990234375	-21.446399688720703	-4129.956676701831	1879.9453055023387	-4420.283955373581
0.02446603775024414	475.939697265625	-15.346099853515625	-20.461299896240234	-4106.144072903189	1840.3453219468427	-4313.808854218501
0.02281665802001953	475.939697265625	-15.346099853515625	-20.461299896240234	-4106.144072903189	1840.3453219468427	-4313.808854218501
0.02286839485168457	481.82989501953125	-14.617500305175781	-19.48979949951172	-4082.6520494594693	1799.9770170564104	-4206.548265590789
0.02269434928894043	487.6282958984375	-13.900199890136719	-18.53350067138672	-4059.5330888298663	1758.8981215361575	-4098.600156747611
